,symbol,metric,value
272,ALLE,Previous Close,106.35
273,ALLE,Open,106.27
274,ALLE,Bid,103.79 x 800
275,ALLE,Ask,105.83 x 1000
276,ALLE,Day's Range,104.63 - 106.08
277,ALLE,52 Week Range,95.94 - 128.36
278,ALLE,Volume,"441,796"
279,ALLE,Avg. Volume,"707,160"
280,ALLE,Market Cap,9.283B
281,ALLE,Beta (5Y Monthly),1.14
282,ALLE,PE Ratio (TTM),16.73
283,ALLE,EPS (TTM),6.32
284,ALLE,Earnings Date,"Feb 20, 2024 - Feb 26, 2024"
285,ALLE,Forward Dividend & Yield,1.80 (1.69%)
286,ALLE,Ex-Dividend Date,"Sep 15, 2023"
287,ALLE,1y Target Est,118.18
288,LNT,Previous Close,48.57
289,LNT,Open,48.45
290,LNT,Bid,47.60 x 1800
291,LNT,Ask,47.61 x 800
292,LNT,Day's Range,47.58 - 48.53
293,LNT,52 Week Range,45.15 - 57.52
294,LNT,Volume,"935,211"
295,LNT,Avg. Volume,"1,683,865"
296,LNT,Market Cap,12.169B
297,LNT,Beta (5Y Monthly),0.57
298,LNT,PE Ratio (TTM),17.47
299,LNT,EPS (TTM),2.73
300,LNT,Earnings Date,"Nov 03, 2023"
301,LNT,Forward Dividend & Yield,1.81 (3.73%)
302,LNT,Ex-Dividend Date,"Oct 30, 2023"
303,LNT,1y Target Est,52.22
304,ALL,Previous Close,134.19
305,ALL,Open,133.21
306,ALL,Bid,0.00 x 900
307,ALL,Ask,0.00 x 1400
308,ALL,Day's Range,132.74 - 134.88
309,ALL,52 Week Range,100.57 - 142.15
310,ALL,Volume,"1,090,984"
311,ALL,Avg. Volume,"1,673,170"
312,ALL,Market Cap,35.234B
313,ALL,Beta (5Y Monthly),0.52
314,ALL,PE Ratio (TTM),N/A
315,ALL,EPS (TTM),-7.98
316,ALL,Earnings Date,"Jan 30, 2024 - Feb 05, 2024"
317,ALL,Forward Dividend & Yield,3.56 (2.64%)
318,ALL,Ex-Dividend Date,"Nov 29, 2023"
319,ALL,1y Target Est,140.80
320,GOOGL,Previous Close,135.31
321,GOOGL,Open,133.69
322,GOOGL,Bid,136.33 x 1300
323,GOOGL,Ask,136.35 x 1100
324,GOOGL,Day's Range,133.62 - 136.62
325,GOOGL,52 Week Range,84.86 - 141.22
326,GOOGL,Volume,"14,227,293"
327,GOOGL,Avg. Volume,"27,499,409"
328,GOOGL,Market Cap,1.718T
329,GOOGL,Beta (5Y Monthly),1.05
330,GOOGL,PE Ratio (TTM),26.15
331,GOOGL,EPS (TTM),5.22
332,GOOGL,Earnings Date,"Jan 31, 2024 - Feb 05, 2024"
333,GOOGL,Forward Dividend & Yield,N/A (N/A)
334,GOOGL,Ex-Dividend Date,N/A
335,GOOGL,1y Target Est,151.71
336,GOOG,Previous Close,136.94
337,GOOG,Open,135.50
338,GOOG,Bid,138.14 x 1000
339,GOOG,Ask,138.12 x 900
340,GOOG,Day's Range,135.54 - 138.41
341,GOOG,52 Week Range,85.57 - 142.38
342,GOOG,Volume,"11,136,637"
343,GOOG,Avg. Volume,"21,275,140"
344,GOOG,Market Cap,1.719T
345,GOOG,Beta (5Y Monthly),1.05
346,GOOG,PE Ratio (TTM),26.49
347,GOOG,EPS (TTM),5.22
348,GOOG,Earnings Date,"Jan 31, 2024 - Feb 05, 2024"
349,GOOG,Forward Dividend & Yield,N/A (N/A)
350,GOOG,Ex-Dividend Date,N/A
351,GOOG,1y Target Est,146.10
352,MO,Previous Close,40.82
353,MO,Open,40.65
354,MO,Bid,40.85 x 1400
355,MO,Ask,40.86 x 2200
356,MO,Day's Range,40.63 - 40.88
357,MO,52 Week Range,39.07 - 48.11
358,MO,Volume,"1,414,170"
359,MO,Avg. Volume,"8,551,464"
360,MO,Market Cap,72.309B
361,MO,Beta (5Y Monthly),0.69
362,MO,PE Ratio (TTM),8.34
363,MO,EPS (TTM),4.90
364,MO,Earnings Date,"Feb 01, 2024"
365,MO,Forward Dividend & Yield,3.92 (9.60%)
366,MO,Ex-Dividend Date,"Sep 14, 2023"
367,MO,1y Target Est,46.51
368,AMZN,Previous Close,146.13
369,AMZN,Open,143.91
370,AMZN,Bid,142.18 x 1000
371,AMZN,Ask,142.20 x 1200
372,AMZN,Day's Range,141.50 - 143.99
373,AMZN,52 Week Range,81.43 - 147.29
374,AMZN,Volume,"24,346,760"
375,AMZN,Avg. Volume,"52,497,714"
376,AMZN,Market Cap,1.467T
377,AMZN,Beta (5Y Monthly),1.17
378,AMZN,PE Ratio (TTM),74.30
379,AMZN,EPS (TTM),1.91
380,AMZN,Earnings Date,"Jan 31, 2024 - Feb 05, 2024"
381,AMZN,Forward Dividend & Yield,N/A (N/A)
382,AMZN,Ex-Dividend Date,N/A
383,AMZN,1y Target Est,172.83
384,AMCR,Previous Close,9.37
385,AMCR,Open,9.34
386,AMCR,Bid,0.00 x 2900
387,AMCR,Ask,0.00 x 2200
388,AMCR,Day's Range,9.19 - 9.39
389,AMCR,52 Week Range,8.45 - 12.78
390,AMCR,Volume,"7,881,721"
391,AMCR,Avg. Volume,"7,538,195"
392,AMCR,Market Cap,13.543B
393,AMCR,Beta (5Y Monthly),0.86
394,AMCR,PE Ratio (TTM),14.42
395,AMCR,EPS (TTM),0.65
396,AMCR,Earnings Date,"Feb 05, 2024 - Feb 10, 2024"
397,AMCR,Forward Dividend & Yield,0.50 (5.34%)
398,AMCR,Ex-Dividend Date,"Nov 21, 2023"
399,AMCR,1y Target Est,9.37
400,AEE,Previous Close,77.12
401,AEE,Open,76.78
402,AEE,Bid,0.00 x 800
403,AEE,Ask,82.00 x 800
404,AEE,Day's Range,75.77 - 77.38
405,AEE,52 Week Range,69.71 - 92.44
406,AEE,Volume,"1,355,506"
407,AEE,Avg. Volume,"1,624,160"
408,AEE,Market Cap,20.199B
409,AEE,Beta (5Y Monthly),0.49
410,AEE,PE Ratio (TTM),17.42
411,AEE,EPS (TTM),4.41
412,AEE,Earnings Date,"Feb 13, 2024 - Feb 19, 2024"
413,AEE,Forward Dividend & Yield,2.52 (3.28%)
414,AEE,Ex-Dividend Date,"Dec 12, 2023"
415,AEE,1y Target Est,82.58
416,AAL,Previous Close,12.29
417,AAL,Open,12.23
418,AAL,Bid,12.33 x 21500
419,AAL,Ask,12.40 x 27000
420,AAL,Day's Range,12.17 - 12.45
421,AAL,52 Week Range,10.86 - 19.08
422,AAL,Volume,"23,604,008"
423,AAL,Avg. Volume,"33,032,589"
424,AAL,Market Cap,8.104B
425,AAL,Beta (5Y Monthly),1.58
426,AAL,PE Ratio (TTM),5.19
427,AAL,EPS (TTM),2.39
428,AAL,Earnings Date,"Jan 24, 2024 - Jan 29, 2024"
429,AAL,Forward Dividend & Yield,N/A (N/A)
430,AAL,Ex-Dividend Date,"Feb 04, 2020"
431,AAL,1y Target Est,14.32
432,AEP,Previous Close,77.19
433,AEP,Open,77.48
434,AEP,Bid,77.16 x 800
435,AEP,Ask,77.18 x 800
436,AEP,Day's Range,76.76 - 77.75
437,AEP,52 Week Range,69.38 - 100.32
438,AEP,Volume,"354,946"
439,AEP,Avg. Volume,"3,377,696"
440,AEP,Market Cap,40.645B
441,AEP,Beta (5Y Monthly),0.50
442,AEP,PE Ratio (TTM),17.73
443,AEP,EPS (TTM),4.36
444,AEP,Earnings Date,"Feb 21, 2024 - Feb 26, 2024"
445,AEP,Forward Dividend & Yield,3.52 (4.56%)
446,AEP,Ex-Dividend Date,"Nov 09, 2023"
447,AEP,1y Target Est,87.17
448,AXP,Previous Close,162.56
449,AXP,Open,162.91
450,AXP,Bid,164.37 x 800
451,AXP,Ask,164.77 x 800
452,AXP,Day's Range,162.76 - 164.65
453,AXP,52 Week Range,140.91 - 182.15
454,AXP,Volume,"3,073,612"
455,AXP,Avg. Volume,"3,013,192"
456,AXP,Market Cap,119.405B
457,AXP,Beta (5Y Monthly),1.21
458,AXP,PE Ratio (TTM),15.24
459,AXP,EPS (TTM),10.75
460,AXP,Earnings Date,"Jan 25, 2024 - Jan 29, 2024"
461,AXP,Forward Dividend & Yield,2.40 (1.48%)
462,AXP,Ex-Dividend Date,"Oct 05, 2023"
463,AXP,1y Target Est,157.40
464,AIG,Previous Close,64.48
465,AIG,Open,63.99
466,AIG,Bid,63.90 x 800
467,AIG,Ask,0.00 x 1100
468,AIG,Day's Range,63.79 - 64.65
469,AIG,52 Week Range,45.66 - 64.94
470,AIG,Volume,"2,321,896"
471,AIG,Avg. Volume,"3,123,618"
472,AIG,Market Cap,45.183B
473,AIG,Beta (5Y Monthly),1.05
474,AIG,PE Ratio (TTM),11.17
475,AIG,EPS (TTM),5.76
476,AIG,Earnings Date,"Feb 13, 2024 - Feb 19, 2024"
477,AIG,Forward Dividend & Yield,1.44 (2.24%)
478,AIG,Ex-Dividend Date,"Dec 13, 2023"
479,AIG,1y Target Est,73.00
480,AMT,Previous Close,199.64
481,AMT,Open,199.56
482,AMT,Bid,198.89 x 900
483,AMT,Ask,199.07 x 900
484,AMT,Day's Range,198.12 - 199.57
485,AMT,52 Week Range,154.58 - 235.57
486,AMT,Volume,"253,904"
487,AMT,Avg. Volume,"2,195,265"
488,AMT,Market Cap,92.485B
489,AMT,Beta (5Y Monthly),0.63
490,AMT,PE Ratio (TTM),132.26
491,AMT,EPS (TTM),1.50
492,AMT,Earnings Date,"Feb 21, 2024 - Feb 26, 2024"
493,AMT,Forward Dividend & Yield,6.48 (3.25%)
494,AMT,Ex-Dividend Date,"Oct 10, 2023"
495,AMT,1y Target Est,208.65
496,AWK,Previous Close,130.67
497,AWK,Open,130.97
498,AWK,Bid,130.19 x 900
499,AWK,Ask,130.56 x 800
500,AWK,Day's Range,130.12 - 131.56
501,AWK,52 Week Range,114.25 - 162.59
502,AWK,Volume,"141,297"
503,AWK,Avg. Volume,"1,177,446"
504,AWK,Market Cap,25.397B
505,AWK,Beta (5Y Monthly),0.63
506,AWK,PE Ratio (TTM),27.01
507,AWK,EPS (TTM),4.83
508,AWK,Earnings Date,"Feb 13, 2024 - Feb 19, 2024"
509,AWK,Forward Dividend & Yield,2.83 (2.17%)
510,AWK,Ex-Dividend Date,"Nov 13, 2023"
511,AWK,1y Target Est,147.60
512,AMP,Previous Close,349.48
513,AMP,Open,348.27
514,AMP,Bid,348.31 x 800
515,AMP,Ask,349.14 x 900
516,AMP,Day's Range,349.69 - 349.69
517,AMP,52 Week Range,275.09 - 358.02
518,AMP,Volume,"22,223"
519,AMP,Avg. Volume,"455,528"
520,AMP,Market Cap,35.386B
521,AMP,Beta (5Y Monthly),1.45
522,AMP,PE Ratio (TTM),16.88
523,AMP,EPS (TTM),20.72
524,AMP,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
525,AMP,Forward Dividend & Yield,5.40 (1.55%)
526,AMP,Ex-Dividend Date,"Nov 03, 2023"
527,AMP,1y Target Est,372.20
528,AME,Previous Close,155.66
529,AME,Open,155.85
530,AME,Bid,154.86 x 1300
531,AME,Ask,154.99 x 900
532,AME,Day's Range,154.19 - 155.80
533,AME,52 Week Range,131.52 - 164.75
534,AME,Volume,"121,064"
535,AME,Avg. Volume,"1,011,265"
536,AME,Market Cap,35.677B
537,AME,Beta (5Y Monthly),1.20
538,AME,PE Ratio (TTM),27.95
539,AME,EPS (TTM),5.53
540,AME,Earnings Date,"Jan 31, 2024 - Feb 05, 2024"
541,AME,Forward Dividend & Yield,1.00 (0.64%)
542,AME,Ex-Dividend Date,"Dec 07, 2023"
543,AME,1y Target Est,172.54
544,AMGN,Previous Close,265.35
545,AMGN,Open,262.59
546,AMGN,Bid,265.88 x 1000
547,AMGN,Ask,267.25 x 800
548,AMGN,Day's Range,264.46 - 265.86
549,AMGN,52 Week Range,211.71 - 289.54
550,AMGN,Volume,"305,893"
551,AMGN,Avg. Volume,"2,441,325"
552,AMGN,Market Cap,141.597B
553,AMGN,Beta (5Y Monthly),0.58
554,AMGN,PE Ratio (TTM),18.80
555,AMGN,EPS (TTM),14.07
556,AMGN,Earnings Date,"Jan 29, 2024 - Feb 02, 2024"
557,AMGN,Forward Dividend & Yield,8.52 (3.21%)
558,AMGN,Ex-Dividend Date,"Nov 16, 2023"
559,AMGN,1y Target Est,277.83
560,APH,Previous Close,89.55
561,APH,Open,89.57
562,APH,Bid,89.72 x 800
563,APH,Ask,89.74 x 1400
564,APH,Day's Range,89.62 - 89.99
565,APH,52 Week Range,72.00 - 90.28
566,APH,Volume,"340,077"
567,APH,Avg. Volume,"2,453,673"
568,APH,Market Cap,53.806B
569,APH,Beta (5Y Monthly),1.26
570,APH,PE Ratio (TTM),29.01
571,APH,EPS (TTM),3.10
572,APH,Earnings Date,"Jan 24, 2024"
573,APH,Forward Dividend & Yield,0.88 (0.98%)
574,APH,Ex-Dividend Date,"Dec 18, 2023"
575,APH,1y Target Est,94.00
576,ADI,Previous Close,183.82
577,ADI,Open,183.06
578,ADI,Bid,182.45 x 1800
579,ADI,Ask,182.46 x 800
580,ADI,Day's Range,179.44 - 184.53
581,ADI,52 Week Range,154.99 - 200.10
582,ADI,Volume,"1,431,877"
583,ADI,Avg. Volume,"3,393,928"
584,ADI,Market Cap,91.231B
585,ADI,Beta (5Y Monthly),1.17
586,ADI,PE Ratio (TTM),24.91
587,ADI,EPS (TTM),7.35
588,ADI,Earnings Date,"Nov 21, 2023"
589,ADI,Forward Dividend & Yield,3.44 (1.87%)
590,ADI,Ex-Dividend Date,"Sep 01, 2023"
591,ADI,1y Target Est,201.96
592,ANSS,Previous Close,302.44
593,ANSS,Open,301.37
594,ANSS,Bid,301.51 x 900
595,ANSS,Ask,302.35 x 900
596,ANSS,Day's Range,299.08 - 303.06
597,ANSS,52 Week Range,230.00 - 351.23
598,ANSS,Volume,"38,982"
599,ANSS,Avg. Volume,"452,735"
600,ANSS,Market Cap,26.193B
601,ANSS,Beta (5Y Monthly),1.19
602,ANSS,PE Ratio (TTM),54.52
603,ANSS,EPS (TTM),5.53
604,ANSS,Earnings Date,"Feb 20, 2024 - Feb 26, 2024"
605,ANSS,Forward Dividend & Yield,N/A (N/A)
606,ANSS,Ex-Dividend Date,N/A
607,ANSS,1y Target Est,315.57
608,AON,Previous Close,331.20
609,AON,Open,330.60
610,AON,Bid,325.49 x 900
611,AON,Ask,325.82 x 1300
612,AON,Day's Range,325.05 - 330.93
613,AON,52 Week Range,280.89 - 347.37
614,AON,Volume,"238,086"
615,AON,Avg. Volume,"732,904"
616,AON,Market Cap,65.375B
617,AON,Beta (5Y Monthly),0.93
618,AON,PE Ratio (TTM),24.77
619,AON,EPS (TTM),13.18
620,AON,Earnings Date,"Feb 01, 2024 - Feb 05, 2024"
621,AON,Forward Dividend & Yield,2.46 (0.74%)
622,AON,Ex-Dividend Date,"Oct 31, 2023"
623,AON,1y Target Est,340.56
624,APA,Previous Close,37.00
625,APA,Open,36.68
626,APA,Bid,36.49 x 900
627,APA,Ask,36.49 x 900
628,APA,Day's Range,36.26 - 36.77
629,APA,52 Week Range,30.67 - 48.55
630,APA,Volume,"449,964"
631,APA,Avg. Volume,"3,785,459"
632,APA,Market Cap,11.225B
633,APA,Beta (5Y Monthly),3.50
634,APA,PE Ratio (TTM),7.30
635,APA,EPS (TTM),5.01
636,APA,Earnings Date,"Feb 20, 2024 - Feb 26, 2024"
637,APA,Forward Dividend & Yield,1.00 (2.70%)
638,APA,Ex-Dividend Date,"Oct 20, 2023"
639,APA,1y Target Est,49.37
640,AAPL,Previous Close,191.45
641,AAPL,Open,191.41
642,AAPL,Bid,190.87 x 1200
643,AAPL,Ask,190.88 x 800
644,AAPL,Day's Range,190.27 - 191.50
645,AAPL,52 Week Range,124.17 - 198.23
646,AAPL,Volume,"9,812,811"
647,AAPL,Avg. Volume,"58,702,353"
648,AAPL,Market Cap,2.96T
649,AAPL,Beta (5Y Monthly),1.30
650,AAPL,PE Ratio (TTM),31.05
651,AAPL,EPS (TTM),6.13
652,AAPL,Earnings Date,"Jan 31, 2024 - Feb 05, 2024"
653,AAPL,Forward Dividend & Yield,0.96 (0.50%)
654,AAPL,Ex-Dividend Date,"Nov 10, 2023"
655,AAPL,1y Target Est,197.80
656,AMAT,Previous Close,148.59
657,AMAT,Open,148.88
658,AMAT,Bid,152.35 x 1200
659,AMAT,Ask,152.61 x 800
660,AMAT,Day's Range,148.86 - 153.00
661,AMAT,52 Week Range,93.68 - 157.76
662,AMAT,Volume,"6,920,859"
663,AMAT,Avg. Volume,"5,678,284"
664,AMAT,Market Cap,127.63B
